Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01 00:00:00.000037488,21.200001,21.200001,20.975,21.155001,18.496,385720.0
1970-01-01 00:00:00.000037489,21.0,21.049999,20.809999,20.940001,18.308027,1342600.0
1970-01-01 00:00:00.000037490,21.0,21.1,20.700001,20.895,18.268682,444430.0
1970-01-01 00:00:00.000037491,20.725,21.02,20.725,20.950001,18.316769,570580.0
1970-01-01 00:00:00.000037494,21.129999,21.129999,20.799999,21.040001,18.395456,317300.0
1970-01-01 00:00:00.000037495,21.049999,21.049999,20.9,20.985001,18.347372,169770.0
1970-01-01 00:00:00.000037496,20.9,21.139999,20.879999,20.985001,18.347372,191620.0
1970-01-01 00:00:00.000037497,20.924999,21.125,20.834999,21.059999,18.412943,228160.0
1970-01-01 00:00:00.000037498,20.975,21.15,20.905001,20.955,18.321138,1698900.0
1970-01-01 00:00:00.000037501,21.09,21.1,20.965,20.99,18.351738,180450.0
1970-01-01 00:00:00.000037502,21.08,21.1,20.9,21.0,18.360483,195620.0
1970-01-01 00:00:00.000037503,21.014999,21.34,20.9,21.285,18.609659,330340.0
1970-01-01 00:00:00.000037504,21.200001,21.395,21.025,21.190001,18.526606,357710.0
1970-01-01 00:00:00.000037505,21.200001,21.219999,21.030001,21.065001,18.417313,224390.0
1970-01-01 00:00:00.000037508,21.0,21.1,20.879999,21.004999,18.364851,192770.0
1970-01-01 00:00:00.000037509,21.004999,21.004999,21.004999,21.004999,18.364851,0.0
1970-01-01 00:00:00.000037510,21.0,21.290001,20.950001,21.26,18.587809,327200.0
1970-01-01 00:00:00.000037511,21.200001,21.459999,21.049999,21.34,18.657751,291080.0
1970-01-01 00:00:00.000037512,21.075001,21.52,21.075001,21.475,18.775782,404850.0
1970-01-01 00:00:00.000037515,21.280001,21.700001,21.280001,21.59,18.876328,291240.0
1970-01-01 00:00:00.000037516,21.42,22.375,21.42,22.264999,19.466482,651120.0
1970-01-01 00:00:00.000037517,22.105,22.6,22.0,22.485001,19.658829,1103820.0
1970-01-01 00:00:00.000037518,22.469999,22.469999,22.0,22.01,19.243536,369950.0
1970-01-01 00:00:00.000037519,22.0,22.195,21.799999,22.01,19.243536,171980.0
1970-01-01 00:00:00.000037522,22.0,22.1,21.91,21.99,19.226048,962440.0
1970-01-01 00:00:00.000037523,21.865,21.865,21.434999,21.674999,18.950645,484670.0
1970-01-01 00:00:00.000037524,21.695,21.695,20.969999,20.99,18.351738,561260.0
1970-01-01 00:00:00.000037525,21.0,21.264999,20.834999,20.950001,18.316769,154180.0
1970-01-01 00:00:00.000037526,20.9,22.5,20.9,22.08,19.304737,1481910.0
